date;location;description;sun;rep;distance;scene;row;mean;sd;mode;min;max;slice
11-08-15;B;brown staghorn;side;1;5;background;12;121,5;1,1;121;115;126;6
11-08-15;B;brown staghorn;side;1;4;foreground;13;112,1;7,0;108;86;179;7
11-08-15;B;brown staghorn;side;1;4;background;14;118,4;1,4;119;113;129;7
11-08-15;B;brown staghorn;side;1;3;foreground;15;105,1;10,3;104;71;185;8
11-08-15;B;brown staghorn;side;1;3;background;16;115,2;1,7;115;108;141;8
11-08-15;B;brown staghorn;side;1;2;foreground;17;90,9;13,8;86;55;200;9
11-08-15;B;brown staghorn;side;1;2;background;18;110,6;1,5;111;101;117;9
11-08-15;B;brown staghorn;side;1;1;foreground;19;78,3;22,8;72;35;210;10
11-08-15;B;brown staghorn;side;1;1;background;20;116,7;1,4;116;112;124;10
11-08-15;B;brown staghorn;side;2;10;foreground;1;128,2;1,6;128;122;134;1
11-08-15;B;brown staghorn;side;2;10;background;2;126,7;1,1;127;123;130;1
11-08-15;B;brown staghorn;side;2;9;foreground;3;128,2;1,5;128;123;136;2
11-08-15;B;brown staghorn;side;2;9;background;4;127,0;1,0;127;122;133;2
11-08-15;B;brown staghorn;side;2;8;foreground;5;127,2;1,7;127;122;137;3
11-08-15;B;brown staghorn;side;2;8;background;6;125,3;1,0;125;122;129;3
11-08-15;B;brown staghorn;side;2;7;foreground;7;126,0;2,1;125;119;138;4
11-08-15;B;brown staghorn;side;2;7;background;8;124,9;1,0;125;122;129;4
11-08-15;B;brown staghorn;side;2;6;foreground;9;121,4;2,6;122;112;147;5
11-08-15;B;brown staghorn;side;2;6;background;10;121,7;1,0;122;119;126;5
11-08-15;B;brown staghorn;side;2;5;foreground;11;124,7;4,1;125;108;159;6
11-08-15;B;brown staghorn;side;2;5;background;12;126,0;1,3;126;121;134;6
11-08-15;B;brown staghorn;side;2;4;foreground;13;117,2;6,7;115;89;181;7
11-08-15;B;brown staghorn;side;2;4;background;14;121,6;1,2;121;117;128;7
11-08-15;B;brown staghorn;side;2;3;foreground;15;108,2;9,8;109;77;197;8
11-08-15;B;brown staghorn;side;2;3;background;16;118,6;1,4;119;112;129;8
11-08-15;B;brown staghorn;side;2;2;foreground;17;97,6;15,6;93;56;223;9
11-08-15;B;brown staghorn;side;2;2;background;18;117,4;2,0;117;104;140;9
11-08-15;B;brown staghorn;side;2;1;foreground;19;82,7;23,9;73;38;228;10
11-08-15;B;brown staghorn;side;2;1;background;20;118,0;2,3;118;98;146;10
11-08-15;B;brown staghorn;side;3;10;foreground;1;130,5;1,9;131;124;139;1
11-08-15;B;brown staghorn;side;3;10;background;2;128,7;1,2;128;125;134;1
11-08-15;B;brown staghorn;side;3;9;foreground;3;134,2;3,4;133;123;149;2
11-08-15;B;brown staghorn;side;3;9;background;4;131,5;1,2;132;125;139;2
11-08-15;B;brown staghorn;side;3;8;foreground;5;130,6;2,3;130;123;140;3
11-08-15;B;brown staghorn;side;3;8;background;6;128,0;1,3;128;124;142;3
11-08-15;B;brown staghorn;side;3;7;foreground;7;127,4;2,5;128;118;145;4
11-08-15;B;brown staghorn;side;3;7;background;8;125,8;1,1;126;123;130;4
11-08-15;B;brown staghorn;side;3;6;foreground;9;123,9;3,1;125;109;154;5
11-08-15;B;brown staghorn;side;3;6;background;10;124,0;1,1;124;119;128;5
11-08-15;B;brown staghorn;side;3;5;foreground;11;123,2;3,7;123;106;176;6
11-08-15;B;brown staghorn;side;3;5;background;12;124,9;1,2;125;119;136;6
11-08-15;B;brown staghorn;side;3;4;foreground;13;118,9;6,5;119;91;173;7
11-08-15;B;brown staghorn;side;3;4;background;14;125,1;1,2;125;120;131;7
11-08-15;B;brown staghorn;side;3;3;foreground;15;113,0;8,8;110;81;192;8
11-08-15;B;brown staghorn;side;3;3;background;16;121,4;1,3;121;117;127;8
11-08-15;B;brown staghorn;side;3;2;foreground;17;109,2;13,3;109;70;204;9
11-08-15;B;brown staghorn;side;3;2;background;18;129,6;2,2;129;113;153;9
11-08-15;B;brown staghorn;side;3;1;foreground;19;93,7;20,6;94;47;229;10
11-08-15;B;brown staghorn;side;3;1;background;20;128,5;2,5;128;102;162;10
11-08-15;B;coral boulder;side;1;10;foreground;1;123,9;1,4;124;118;130;1
11-08-15;B;coral boulder;side;1;10;background;2;121,1;1,2;121;117;125;1
11-08-15;B;coral boulder;side;1;9;foreground;3;118,1;1,7;118;111;136;2
11-08-15;B;coral boulder;side;1;9;background;4;121,8;1,3;122;116;133;2
11-08-15;B;coral boulder;side;1;8;foreground;5;118,0;3,5;115;111;141;3
11-08-15;B;coral boulder;side;1;8;background;6;123,7;1,3;123;119;128;3
11-08-15;B;coral boulder;side;1;7;foreground;7;116,2;3,6;115;101;146;4
11-08-15;B;coral boulder;side;1;7;background;8;123,0;1,2;123;112;127;4
11-08-15;B;coral boulder;side;1;6;foreground;9;116,1;3,8;115;101;162;5
11-08-15;B;coral boulder;side;1;6;background;10;125,1;1,3;125;120;137;5
11-08-15;B;coral boulder;side;1;5;foreground;11;110,5;4,1;110;95;174;6
11-08-15;B;coral boulder;side;1;5;background;12;126,0;1,3;126;122;133;6
11-08-15;B;coral boulder;side;1;4;foreground;13;103,7;4,6;102;85;172;7
11-08-15;B;coral boulder;side;1;4;background;14;121,8;1,3;122;117;134;7
11-08-15;B;coral boulder;side;1;3;foreground;15;93,1;5,8;92;74;167;8
11-08-15;B;coral boulder;side;1;3;background;16;117,5;1,6;117;113;124;8
